Сессия,Наименование,Цена [€],Количество,Цена 1С [₽],Цена [₽],Цена с Банком [₽]
0,EPK-15 2mm,2.48,100,244.9809,252.0672,257.6029
0,EPK-15 3mm,3.44,80,339.8123,349.6416,357.3201
0,EPK-15 10mm,10.1,120,997.7047,1026.564,1049.1085
1,EPK-15 5mm,5.55,50,565.4645,575.1501,586.0888
1,EPK-15 10mm,10.1,120,1029.0435,1046.6695,1066.5761
1,Neopren 5mm,9.45,50,962.818,979.3096,997.935
2,EPK-15 2mm,2.48,100,250.6859,249.1019,253.9374
2,EPK-15 3mm,3.44,80,347.7256,345.5284,352.2357
2,EPK-15 5mm,5.55,50,561.0108,557.4659,568.2873
2,EPK-15 10mm,10.1,200,1020.9386,1014.4875,1034.1805
2,Neopren 2mm,4.06,100,410.3971,407.8039,415.7201
2,Neopren 5mm,9.45,50,955.2346,949.1987,967.6244
2,Neopren 10mm,18.38,20,1857.9061,1846.1664,1882.0038
3,EPK-15 2mm,2.48,200,302.2694,304.7405,309.9857
3,EPK-15 3mm,3.44,160,419.277,422.7045,429.9802
3,EPK-15 5mm,5.55,100,676.4497,681.9797,693.718
3,EPK-15 10mm,10.1,200,1231.0166,1241.0801,1262.4418
4,EPK-15 3mm,3.44,240,410.9892,424.2614,427.4713
4,EPK-15 4mm,4.34,50,518.5154,535.26,539.3097
4,EPK-15 5mm,5.55,150,663.0785,684.4915,689.6702
4,EPK-15 10mm,10.1,140,1206.6834,1245.6513,1255.0756
4,EPK-15 20mm,20.4,10,2437.2615,2515.9689,2535.0041
4,EPSO 10mm,17.25,8,2060.9197,2127.4737,2143.5696
4,EPSO 10mm [клей],20.65,2,2467.1299,2546.8018,2566.0703
5,EPK-15 2mm,2.99,200,303.3853,323.2916,324.7502
5,EPK-15 3mm,4.19,240,425.1452,453.0407,455.0848
5,EPK-15 4mm,5.32,100,539.8025,575.2212,577.8165
5,EPK-15 6mm,7.97,80,808.6891,861.7505,865.6386
5,EPK-15 8mm,10.09,60,1023.7984,1090.974,1095.8963
5,EPK-15 10mm,12.5,200,1268.333,1351.5535,1357.6515
5,Neopren 8mm,19.54,20,1982.6582,2112.7484,2122.2808
5,Neopren 10mm,24.29,20,2464.6248,2626.3387,2638.1883
6,EPK-15 3mm,4.37,240,504.2125,487.3157,493.2505
6,EPK-15 4mm,5.56,50,641.5152,620.0172,627.5682
6,EPK-15 5mm,7.09,150,818.0472,790.6335,800.2623
6,EPK-15 6mm,8.33,40,961.1189,928.9107,940.2235
6,EPK-15 10mm,13.1,20,1511.4836,1460.8319,1478.6229
6,SFK-20 2mm,4.62,100,533.0576,515.1942,521.4685
6,Neopren 3mm,7.68,80,886.1217,856.4267,866.8568
6,Neopren 5mm,12.45,150,1436.4863,1388.3479,1405.2561
6,Neopren 10mm,24.29,20,2802.5905,2708.6724,2741.6602
6,Neopren 2mm,5.31,100,612.6701,592.1387,599.3502
